method,epsilon,cosine_similarity
fgsm,0.001,0.12810023855565578
fgsm,0.001,0.18381627999641215
fgsm,0.001,0.5084530115127563
fgsm,0.001,-0.16184017062187195
fgsm,0.001,0.865617326832852
fgsm,0.001,0.9305253902234257
fgsm,0.001,0.7587785350912376
fgsm,0.001,0.9316704273223877
fgsm,0.001,0.5133159160614014
fgsm,0.001,-0.003899643197655678
fgsm,0.001,0.9369816704966696
fgsm,0.001,0.9712021946907043
fgsm,0.001,0.8403631258443803
fgsm,0.001,0.8890981277017147
fgsm,0.001,0.64821294833499
fgsm,0.001,0.9181786179542542
fgsm,0.001,0.6917688434261785
fgsm,0.001,0.9382476173786906
fgsm,0.001,0.6029853224754333
fgsm,0.001,0.8391028642654419
fgsm,0.001,0.9468651413917542
fgsm,0.001,0.9254688620567322
fgsm,0.001,0.9750377826403915
fgsm,0.001,0.7457259519614566
fgsm,0.001,0.9285929203033447
fgsm,0.001,0.7607633328892801
fgsm,0.001,0.7335659484137881
fgsm,0.001,0.8781032489599749
fgsm,0.001,0.6895143204637969
fgsm,0.001,0.9275595545768738
fgsm,0.001,0.8066024299500939
fgsm,0.001,0.9145231519497384
fgsm,0.001,0.851331889629364
fgsm,0.001,0.9247494615539752
fgsm,0.001,0.6853479351207001
fgsm,0.001,0.8829271127538167
fgsm,0.001,0.898796585166353
fgsm,0.001,0.781021237373352
fgsm,0.001,0.6901616454124451
fgsm,0.001,0.745792031288147
fgsm,0.001,0.8833299875259399
fgsm,0.001,0.029731085433428617
fgsm,0.001,0.8081674575805664
fgsm,0.001,0.7892846716303081
fgsm,0.001,0.9612528372184292
fgsm,0.001,0.7808061968799725
fgsm,0.001,0.7749576799558905
fgsm,0.001,0.8091742396354675
fgsm,0.001,0.7691528797149658
fgsm,0.001,0.9194793701171875
fgsm,0.001,0.7829996347427368
fgsm,0.001,0.7371180277203929
fgsm,0.001,0.9726898364034251
fgsm,0.001,0.8714914994542913
fgsm,0.001,0.8713797330856323
fgsm,0.001,0.889821284402687
fgsm,0.001,0.8435149192810059
fgsm,0.001,0.7808737754821777
fgsm,0.001,0.8859975337982178
fgsm,0.001,0.7795382010661497
fgsm,0.001,0.8685995418668082
fgsm,0.001,0.9441153373787025
fgsm,0.001,0.44608366168044067
fgsm,0.001,0.7364410381448582
fgsm,0.001,0.7054665264209208
fgsm,0.001,0.8052559734957214
fgsm,0.001,0.3951904891488103
fgsm,0.001,0.6955127301506573
fgsm,0.001,0.8937200574195406
fgsm,0.001,0.8085171225225072
fgsm,0.001,0.817544985863269
fgsm,0.001,0.6436982346683218
fgsm,0.001,0.8189796697485264
fgsm,0.001,0.46793575489329586
fgsm,0.001,0.5817143321037292
fgsm,0.001,0.6926454512073237
fgsm,0.001,0.8623816967010498
fgsm,0.001,0.5976745246454801
fgsm,0.001,0.7492554411070184
fgsm,0.001,0.8443795005422418
fgsm,0.001,0.8973625424668206
fgsm,0.001,0.9035389423370361
fgsm,0.001,0.7378539443016052
fgsm,0.001,0.8113629817962646
fgsm,0.001,0.7940022472141848
fgsm,0.001,0.7088193297386169
fgsm,0.001,0.7133291021977836
fgsm,0.001,0.8626969538511676
fgsm,0.001,0.8542518106548914
fgsm,0.001,0.8319318294525146
fgsm,0.001,0.8182086836224024
fgsm,0.001,0.8650277337415393
fgsm,0.001,0.7935159206390381
fgsm,0.001,0.9748931527137756
fgsm,0.001,0.9178460836410522
fgsm,0.001,0.7133881449699402
fgsm,0.001,0.8514525382845096
fgsm,0.001,0.8778886271781563
fgsm,0.001,0.8463194966316223
fgsm,0.001,0.9640285394174748
fgsm,0.001,0.9586785435676575
fgsm,0.001,0.7282660007476807
fgsm,0.001,0.7970468518477876
fgsm,0.001,0.7452149613265685
fgsm,0.001,0.680427750361793
fgsm,0.001,0.20075609388220594
fgsm,0.001,0.9903786188138373
fgsm,0.001,0.9225644469261169
fgsm,0.001,0.9141486883163452
fgsm,0.001,0.9174502541154488
fgsm,0.001,0.8752265833385765
fgsm,0.001,0.7913074493408203
fgsm,0.001,0.943001571714786
fgsm,0.001,0.7648007413863708
fgsm,0.001,0.5054318308830261
fgsm,0.001,0.9344097336774922
fgsm,0.001,0.5791956782341003
fgsm,0.001,0.11194472915593123
fgsm,0.001,0.6540535482200126
fgsm,0.001,0.5907659042794632
fgsm,0.001,-0.10349991481005905
fgsm,0.001,0.9305609423256499
fgsm,0.001,0.636660099029541
fgsm,0.001,0.6501510739326477
fgsm,0.001,0.8566247480101812
fgsm,0.001,0.7270253354631694
fgsm,0.001,0.6674434741569604
fgsm,0.001,0.8119004480898128
fgsm,0.001,0.9499418765341134
fgsm,0.001,0.7950797317945881
fgsm,0.001,0.6781732248171118
fgsm,0.001,0.7221678495407104
fgsm,0.001,0.9813331365585327
fgsm,0.001,0.9801948678377367
fgsm,0.001,0.7418027520179749
fgsm,0.001,0.08281910913104484
fgsm,0.001,0.4599534088331547
fgsm,0.001,0.4745660424232483
fgsm,0.001,0.34655478596687317
fgsm,0.001,0.6288997530937195
fgsm,0.001,0.7610708475112915
fgsm,0.001,0.962731659412384
fgsm,0.001,0.07178014413536915
fgsm,0.001,0.6968112407214201
fgsm,0.001,0.7890869504757567
fgsm,0.001,0.7566083669662476
fgsm,0.001,0.9720185382377248
fgsm,0.001,0.3036714467708582
fgsm,0.001,0.8308647917009672
fgsm,0.001,0.8091873653996647
fgsm,0.001,0.9183582018827336
fgsm,0.001,0.8334163675730342
fgsm,0.001,0.8605879205640534
fgsm,0.001,0.7392470836639404
fgsm,0.001,0.5197867906030058
fgsm,0.001,0.6486685276031494
fgsm,0.001,0.2916215658187866
fgsm,0.001,0.8617800556552392
fgsm,0.001,0.6589829921722412
fgsm,0.001,0.5661565920021191
fgsm,0.001,0.142682284116745
fgsm,0.001,0.9300978779792786
fgsm,0.001,0.9585489009945947
fgsm,0.001,0.794241094417605
fgsm,0.001,0.7998933076794941
fgsm,0.001,0.8791666102906117
fgsm,0.001,0.6298750042915344
fgsm,0.001,0.6409038305282593
fgsm,0.001,0.8784111142158508
fgsm,0.001,0.9074133634567261
fgsm,0.001,0.9403235000468347
fgsm,0.001,0.927284653620999
fgsm,0.001,0.4685591459274292
fgsm,0.001,0.8431714773178101
